class_name,precision,recall,f1_score,support,accuracy
Class 0,0.7742448330683624,0.7480798771121352,0.7609375,651.0,0.9750773741651735
Class 1,0.7536231884057971,0.7878787878787878,0.7703703703703704,198.0,0.9924254764619644
Class 2,0.8290598290598291,0.7158671586715867,0.7683168316831683,271.0,0.9904707607102133
Class 3,0.7983193277310925,0.7851239669421488,0.7916666666666666,121.0,0.9959276755171852
Class 4,0.7849462365591398,0.8141263940520446,0.7992700729927007,269.0,0.9910408861378075
Class 5,0.9016949152542373,0.8664495114006515,0.8837209302325582,307.0,0.9942987457240593
Class 6,0.9212598425196851,0.6882352941176471,0.7878787878787878,170.0,0.9948688711516533
Class 7,0.9665960723912206,0.9757069283840248,0.9711301320179893,10291.0,0.9513764456751914
